CCAA,fecha,casos,nuevos,incr %,IA,Hospitalizados,HospitalizadosNuevos,UCI,UCINuevos,muertes,muertesNuevos,region_cod
Andalucía,24.05.2020,12600,3,0.02,3.96,6230,1,766,0,1391,2,ES.AN
Aragão,24.05.2020,5646,19,0.34,25.01,2452,1,257,0,858,0,ES.AR
Asturias,24.05.2020,2397,2,0.08,3.13,1095,0,121,0,308,1,ES.AS
Baleares,24.05.2020,2041,2,0.10,8.26,1141,0,168,0,222,0,ES.PM
Canarias,24.05.2020,2322,1,0.04,2.97,942,0,179,0,157,2,ES.CN
Cantabria,24.05.2020,2289,2,0.09,7.74,1039,0,79,0,209,0,ES.CB
CastillaLaMancha,24.05.2020,16889,34,0.20,26.86,9195,17,642,1,2940,6,ES.CM
CastillayLeón,24.05.2020,18789,52,0.28,34.88,8751,2,557,0,1961,0,ES.CL
Cataluña,24.05.2020,57148,52,0.09,19.71,29497,-,2969,-,6701,31,ES.CT
Ceuta,24.05.2020,124,0,0.00,16.51,12,0,4,0,4,0,ES.CE
CValenciana,24.05.2020,11073,22,0.20,6.06,5739,1,733,0,1393,3,ES.CV
Extremadura,24.05.2020,3047,0,0.00,4.31,1781,0,110,0,506,0,ES.EX
Galicia,24.05.2020,9105,7,0.08,4.59,2953,1,336,1,613,3,ES.GA
Madrid,24.05.2020,67871,26,0.04,29.22,42692,60,3635,1,8977,21,ES.MD
Melilla,24.05.2020,121,0,0.00,2.31,44,0,3,0,2,0,ES.CE
Murcia,24.05.2020,1579,1,0.13,4.48,685,0,112,0,149,0,ES.MU
Navarra,24.05.2020,5219,14,0.27,25.53,2050,0,137,0,509,0,ES.NA
PaísVasco,24.05.2020,13476,9,0.07,11.82,7042,3,578,0,1494,0,ES.PV
LaRioja,24.05.2020,4036,0,0.00,8.84,1505,0,91,0,358,1,ES.LO
