ILHA,AREA_EA_ha,AREA_T_ha,CONCELHO,confirmados_madeira_24/03/2020,confirmados_madeira_25/03/2020,confirmados_madeira_26/03/2020,confirmados_madeira_27/03/2020,confirmados_madeira_28/03/2020,confirmados_madeira_29/03/2020,confirmados_madeira_30/03/2020,confirmados_madeira_31/03/2020,confirmados_madeira_01/04/2020,confirmados_madeira_02/04/2020,confirmados_madeira_03/04/2020,confirmados_madeira_04/04/2020,confirmados_madeira_05/04/2020,confirmados_madeira_06/04/2020,confirmados_madeira_07/04/2020,confirmados_madeira_08/04/2020,confirmados_madeira_09/04/2020,confirmados_madeira_10/04/2020,confirmados_madeira_11/04/2020,confirmados_madeira_12/04/2020,confirmados_madeira_13/04/2020,confirmados_madeira_14/04/2020,confirmados_madeira_15/04/2020,confirmados_madeira_16/04/2020,confirmados_madeira_17/04/2020,confirmados_madeira_18/04/2020,confirmados_madeira_19/04/2020,confirmados_madeira_20/04/2020,confirmados_madeira_21/04/2020,confirmados_madeira_22/04/2020,confirmados_madeira_23/04/2020,confirmados_madeira_24/04/2020,confirmados_madeira_25/04/2020,confirmados_madeira_26/04/2020,confirmados_madeira_27/04/2020,confirmados_madeira_28/04/2020,confirmados_madeira_29/04/2020,confirmados_madeira_30/04/2020,confirmados_madeira_01/05/2020,confirmados_madeira_02/05/2020,confirmados_madeira_03/05/2020,confirmados_madeira_04/05/2020,confirmados_madeira_05/05/2020,confirmados_madeira_06/05/2020,confirmados_madeira_07/05/2020,confirmados_madeira_08/05/2020
ILHA DA MADEIRA (MADEIRA),1667.20000000000,1667.20000000000,PONTA DO SOL,,,,,,"5","5","5","5","5","5","6","6","6","6","6","6","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","6","6","6","6","6","6","6","6","6"
ILHA DA MADEIRA (MADEIRA),1847.23000000000,1847.23000000000,RIBEIRA BRAVA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ILHA DA MADEIRA (MADEIRA),0.05000000000,2531.47000000000,SÃO VICENTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ILHA DA MADEIRA (MADEIRA),0.01000000000,336.74000000000,SANTANA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ILHA DE PORTO SANTO (MADEIRA),0.52000000000,4300.70000000000,PORTO SANTO,,,,,,,"3",,"4","4","4","4","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","7","5","5","5","5","5","5","5","5","5","5","5","5","5","4","4","4","4","4"
ILHA DA MADEIRA (MADEIRA),0.06000000000,798.31000000000,FUNCHAL,"10","10",,,"16","23","23","18","20","20","20","20","20","21","21","21","21","26","26","26","26","27","27","27","27","26","26","26","30","30","30","30","30","30","30","30","30","30","30","30","30","30","26","26","26","26"
ILHA DA MADEIRA (MADEIRA),1002.55000000000,1002.55000000000,CALHETA,,,,,,"4","4","5","5","5","5","4",,,,,,,,,,,,,,,,,,,,,"4",,"3","3","3","6","5","5","5","6",,,"4","4"
ILHA DA MADEIRA (MADEIRA),0.07000000000,1183.10000000000,MACHICO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ILHA DA MADEIRA (MADEIRA),0.00000000000,1200.82000000000,SANTA CRUZ,,,,,,"4","4","4","4","4","4","4","4","4","4","4","4","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","5","5","5","5","5","5","5","5","5"
ILHA DA MADEIRA (MADEIRA),1844.86000000000,1845.64000000000,PORTO MONIZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ILHA DA MADEIRA (MADEIRA),736.26000000000,736.26000000000,CÂMARA DE LOBOS,"3","3",,,"4","6","6","6","7","7","7","7","7","7","7","7","7","7","7","7","7","7","8","8","8","9","18","34","35","35","34","34","34","34","34","34","34","34","34","34","35","35","35","35","38","38"
