"di","distrito/ilha","24/03/2020","25/03/2020","26/03/2020","27/03/2020","28/03/2020","29/03/2020","30/03/2020","31/03/2020","01/04/2020","02/04/2020","03/04/2020","04/04/2020","05/04/2020","06/04/2020","07/04/2020","08/04/2020","09/04/2020","10/04/2020","11/04/2020","12/04/2020","13/04/2020","14/04/2020","15/04/2020","16/04/2020","17/04/2020","18/04/2020","19/04/2020","20/04/2020","21/04/2020","22/04/2020","23/04/2020","24/04/2020","25/04/2020"
"01","AVEIRO","124","142","311","393","499","652","802","627","728","816","883","966","1011","1023","1112","1148","1180","1325","1392","1415","1448","1491","1593","1703","1732","1780","1815","1824","","","","",""
"02","BEJA","","","","","","","","","","3","6","6","7","7","9","11","11","22","45","45","45","52","57","58","58","58","58","58","","","","",""
"03","BRAGA","51","59","218","282","312","421","452","511","584","660","705","788","855","874","968","997","1162","1234","1317","1411","1494","1507","1573","1760","1807","2020","2091","2105","","","","",""
"04","BRAGANÇA","7","7","27","33","43","59","70","72","74","78","84","84","121","123","141","142","154","157","169","173","174","175","181","182","183","193","203","203","","","","",""
"05","CASTELO BRANCO","","","","","","","","","","","","","","","","3","5","5","5","5","5","5","5","8","11","11","13","14","","","","",""
"06","COIMBRA","40","47","106","140","144","248","295","228","245","269","304","325","325","334","351","359","398","413","414","420","441","470","491","536","566","588","600","606","","","","",""
"07","ÉVORA","4","5","8","8","15","23","25","18","20","20","22","22","23","23","23","25","29","29","29","29","29","29","29","28","28","27","24","24","","","","",""
"08","FARO","27","30","79","93","91","103","109","124","132","141","152","161","182","211","216","211","230","237","235","245","259","264","278","287","298","294","297","299","","","","",""
"09","GUARDA","3","3","","3","3","","38","3","6","3","7","4","4","5","10","14","131","135","138","140","139","145","158","161","174","188","185","185","","","","",""
"10","LEIRIA","3","3","28","29","39","42","51","38","73","76","98","108","109","114","121","121","129","131","136","144","148","158","157","163","179","187","191","192","","","","",""
"11","LISBOA","340","374","444","444","807","1166","1264","1160","1270","1420","1530","1623","1693","1743","1869","1934","2052","2217","2294","2365","2400","2495","2568","2669","2762","2841","2884","2922","","","","",""
"12","PORTALEGRE","","","","","","","","","","","","","","","","","","6","4","4","4","7","7","7","7","8","10","13","","","","",""
"13","PORTO","555","617","1029","1296","1513","2052","2714","2232","2494","2766","3041","3211","3447","3597","3851","3976","4260","4747","4971","5237","5498","5750","6020","6255","6417","6628","6793","6866","","","","",""
"14","SANTARÉM","17","23","23","23","66","68","100","73","72","88","93","125","130","133","150","160","175","186","186","191","192","206","218","222","226","239","243","243","","","","",""
"15","SETÚBAL","80","95","101","101","185","217","245","277","313","341","359","392","411","418","441","457","473","540","548","555","566","571","571","595","609","622","622","628","","","","",""
"16","VIANA DO CASTELO","10","10","35","35","42","51","60","54","61","65","72","88","103","126","147","157","181","190","207","219","228","240","267","288","316","318","325","329","","","","",""
"17","VILA REAL","7","12","11","37","111","125","139","140","146","150","150","155","160","160","164","164","167","175","177","182","184","186","202","227","230","234","234","238","","","","",""
"18","VISEU","6","11","26","33","60","67","101","75","90","97","103","110","123","123","138","152","243","261","311","328","346","348","355","373","388","397","419","423","","","","",""
"31","ILHA DA MADEIRA (MADEIRA)","13","13","","","20","42","42","38","41","41","41","41","37","38","38","38","38","44","44","44","44","45","46","46","46","46","55","71","","","","",""
"32","ILHA DE PORTO SANTO (MADEIRA)","","","","","","","3","","4","4","4","4","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","7","","","","",""
"41","ILHA DE SANTA MARIA (AÇORES)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"42","ILHA DE SÃO MIGUEL (AÇORES)","","","","","","7","7","","","","","","","","","3","","","","","","","3","3","3","7","7","7","","","","",""
"43","ILHA TERCEIRA (AÇORES)","","","","","","8","10","5","5","5","7","7","7","7","7","7","8","8","8","8","8","8","7","7","7","7","7","7","","","","",""
"44","ILHA DA GRACIOSA (AÇORES)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"45","ILHA DE SÃO JORGE (AÇORES)","","","","","9","6","6","5","5","5","5","5","9","9","9","9","10","10","10","10","11","11","10","11","10","10","10","10","","","","",""
"46","ILHA DO PICO (AÇORES)","","","","","3","3","6","6","7","7","7","7","7","7","7","7","8","8","8","8","8","8","8","8","8","8","8","8","","","","",""
"47","ILHA DO FAIAL (AÇORES)","","","","","4","4","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","","","","",""
"48","ILHA DAS FLORES (AÇORES)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"49","ILHA CORVO (AÇORES)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
